period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income,Total_SIPA_beneficiaries,Total_SIPA_benefits
49,0.821580612847298,0.178419387152702,0,0.991754255074935,0.991815641525026,0.995045408548097,0.995896746589518,0.804058952640184,0.891722182766699,0.030109369363461,0.028661048974713,0.187695302434751,0.100093458758327,0,0,4470.91576975792,3390.10659050394,2432.55370456062,nan,4107.2324592901,4080.74884624408,3103.99363821106,0.556331839175119,0.634350517058381,476.065180103964,495.49737413771,388.183808792316,677.673117409517,0.661885701127177,0.382427143030873,0.279458558096303,0.298519996151037,0.257891650268396,0.278762921511432,0.252728791486278,0.297692497864372,0.256719234384786,0.276395971821632,0.250199378637816,4180122,5029941
50,0.81232073170867,0.18767926829133,0,0.991962649514421,0.992152565973517,0.995149884742101,0.996092110228103,0.79506793391667,0.883567978181428,0.034625387818604,0.033759146077164,0.196894715597751,0.108584587792089,0,0,5136.6472862761,3899.91982878003,2778.54506764145,nan,4694.08038732658,4681.93347746529,3560.61241992607,0.604343599258828,0.692959299129479,419.443839370919,450.192295482625,242.71898320658,772.031654601589,0.642141795921399,0.37224456806008,0.269897227861319,0.295196492991027,0.259978567532575,0.277962330310752,0.253885767072346,0.294791987385617,0.258804071400295,0.275688318188226,0.251501895961789,4199665,5054403
51,0.803336705423519,0.196663294576481,0,0.992634346484358,0.99299441829374,0.995595525522937,0.996645536961001,0.786811071669356,0.876230190453629,0.039794960916674,0.039311343839261,0.205823274815002,0.116764227840111,0,0,4974.21465552442,3763.51309515038,2684.23179879706,nan,4523.85908239676,4528.83339975316,3435.63471942401,0.570035464811718,0.639841885229795,558.408256955961,579.978178167217,406.498683799269,834.085058889845,0.569985377290317,0.307407872648121,0.262577504642196,0.299329270131627,0.261786459580822,0.28252075781903,0.255105065603326,0.298928231801983,0.260618027368547,0.280657588572912,0.253136939953678,4208576,5069869
52,0.796161887209076,0.203838112790924,0,0.99193241950724,0.993030390090957,0.994885159176775,0.996662761235768,0.779437321205579,0.872058510973477,0.045001569990464,0.045607743077473,0.212495098301661,0.120971879117479,0,0,5374.41382315773,4058.17243058986,2882.13744154239,nan,4866.39290897586,4890.4357366821,3700.65108194989,0.626222207705406,0.692890635071559,525.541716138359,544.232306764524,375.141115526355,805.875981267956,0.576610256022145,0.316874962319502,0.259735293702643,0.300885453271261,0.265496343876346,0.2846970775368,0.258656646221642,0.299940948368494,0.263804052047799,0.282849122315507,0.256707988442729,4209173,5079020
53,0.78900979340416,0.21099020659584,0,0.991988396294033,0.993127580843162,0.994920648423458,0.996709298811044,0.772960974003169,0.863992658935005,0.048663947179802,0.04988954351087,0.219027422290864,0.129134921908157,0,0,4695.7269437737,3501.44621297818,2544.44142362783,nan,4241.82676743148,4266.26784440634,3211.23662197488,0.567155024900054,0.639875571568932,591.661020205855,609.312320843003,440.980279550664,840.825976568957,0.532844481873907,0.276270030368905,0.256574451505002,0.302182507293446,0.264548428071057,0.284420968744257,0.2576872005349,0.301246304763373,0.262865736245492,0.282566331261439,0.255763274480996,4228122,5102309
54,0.780059192009492,0.219940807990508,0,0.991989063684934,0.993218087824325,0.994897906818946,0.996752636014978,0.764591256649884,0.853788250667123,0.05319850153097,0.054604837650854,0.22739780703505,0.139429837157202,0,0,4834.9287285254,3553.18009795879,2602.29687127864,nan,4343.8818738972,4374.50509898835,3293.30021633522,0.603355552662076,0.673899314997364,528.105657043061,543.424426833398,442.587421938844,735.456092039654,0.599419692237727,0.345459616852363,0.253960075385363,0.302997234109985,0.26710661159047,0.285966406202484,0.260063453155665,0.302254049672158,0.26571637171699,0.284140208592758,0.258171006686846,4257165,5137540
55,0.774012181273872,0.225987818726128,0,0.992186492652804,0.992934059620166,0.995077875775662,0.996454951869406,0.7595470478165,0.848024652802341,0.056570564002493,0.059461427371029,0.232639444836304,0.144909406817825,0,0,4615.71076950935,3352.24643747344,2469.01803019746,nan,4130.58435987704,4161.70068758416,3115.80434257354,0.565578461620176,0.634885581344488,513.523945071461,528.639520760736,433.078818266265,697.765402765139,0.538928033946751,0.296737131231665,0.242190902715086,0.313005845470291,0.272140137418036,0.29678151039017,0.264361592586402,0.312396332876275,0.270827579493294,0.295094316692986,0.262596615551902,4280153,5165615
56,0.766952839029283,0.230355736572575,0.002691424398142,0.992977915288475,0.993876460205585,0.995384101916775,0.996810534619569,0.754070024090055,0.843688698004479,0.059527467341993,0.062460449632467,0.236148782164001,0.146823338540834,0.002759109034419,0.003364423660272,5032.96200751969,3672.04596699299,2679.02087266874,2679.02087266874,4484.38270895049,4535.30280581015,3394.207310163,0.61211963239026,0.683833534473005,567.580458869637,578.540680056465,522.605469825261,760.434022701651,0.787048298152375,0.541406523332722,0.245641774819652,0.309208558361159,0.274031329303026,0.29102713350978,0.266147839489218,0.308812845209451,0.27292417235772,0.289600603690996,0.264671249849436,4287267,5179135
57,0.758285336451764,0.235501207663472,0.006213455884764,0.993624586233969,0.994666348064065,0.995591433523384,0.997054849316017,0.74635971140981,0.835980868909398,0.061678844051678,0.06462462311609,0.240908746614896,0.150966720170633,0.006356128209263,0.007718758984033,4784.03672150206,3500.92193818303,2553.20862302547,2553.20862302547,4244.81285824484,4305.68442494974,3227.19356970068,0.570753013666975,0.63932825869283,673.60176042362,683.175437468499,623.725199390539,853.246663803129,0.755139215581157,0.500557556253572,0.254581659327585,0.310404715787511,0.273447272306501,0.292956456216628,0.266159419783828,0.309984667027133,0.27234861808477,0.291672368522718,0.264826665009906,4315653,5209161
58,0.748498044011707,0.241018097954632,0.01048385803366,0.993003552580127,0.993658347241647,0.994955114356473,0.996025283194788,0.736418799555165,0.827330727248387,0.066829551032633,0.070770611380532,0.245889018617073,0.153355384821338,0.01069573440789,0.012972235171922,5101.69271727758,3744.73942112012,2705.51766466417,2705.51766466417,4499.05000465495,4585.59798157606,3428.81158617299,0.610717532239921,0.684216857814631,564.150462411301,575.335872033494,520.303471088875,759.012854650127,0.812104111820807,0.571162752043771,0.240941359777036,0.309109229773499,0.276577982590002,0.29181060294993,0.269771611201803,0.308471751051677,0.275637834292514,0.290363423069543,0.268279394802127,4345126,5251729
