Period,Total_IFE_expenditure,Total_pension_expenditure,Total_labour_income,Total_fam_benefits,Total_IFE_coverage,No_labour_or_pen_income_hh,IFE_ben_18_65,pop_18_65
49,0,8799955.1755971,26937179.4480455,1427392.78129647,0,0.058111201358636,0,37385
50,0,9131341.54555399,25958909.7497401,1022664.05401652,0,0.046204499725627,0,37488
51,0,8221468.44667294,25059206.8322354,1133454.00724599,0,0.077129326554774,0,37593
52,0,8461662.39853205,24355963.4217623,976870.292868545,0,0.054482417038138,0,37707
53,0,7212292.78360799,22200433.3069359,990714.226815458,0,0.077321532708998,0,37811
54,0,7227976.72152512,20942335.8595084,1032911.19492053,0,0.055679988801008,0,37918
55,0,6665010.12273068,20552877.8670443,896746.482452639,0,0.073793174131393,0,38035
56,0,7106184.63878283,19638678.703782,1269871.96693519,0,0.061601000625391,0,38153
57,0,6565367.99184365,18890885.7832725,1412441.62351308,0,0.07692831138784,0,38248
58,0,6880164.31429322,18643670.0976252,1215640.41452573,0,0.053108403623868,0,38349
59,0,6421587.20643426,18594134.4801117,1112273.30250419,0,0.066962471209863,0,38441
60,0,6734925.6530037,18539217.6167604,1177343.17612904,0,0.055203371826063,0,38538
61,0,6020500.70474962,17534340.973106,1283860.42636656,0,0.069806503628057,0,38635
62,0,5929868.95767303,16779219.6849919,1065748.14916754,0,0.059672466734903,0,38755
63,0,5384798.73655936,15349816.8754141,938838.996562027,0,0.065569885921262,0,38828
64,0,4755668.92268459,14297246.2873868,826191.150458459,0,0.055589680589681,0,38971
65,0,4624999.31472401,13710945.2053656,1005951.19783518,0,0.069599541176074,0,39049
66,0,4574803.33292739,13300994.9440181,883449.09514829,0,0.056672135630298,0,39164
67,0,4582842.48874878,12784465.2642195,850567.625101255,0,0.064011620051344,0,39249
68,0,4384649.20044812,11979925.6512927,846513.708220384,0,0.053288444535129,0,39366
69,0,4939647.89291328,12012200.336087,1004604.98511811,0,0.071062590000335,0,39414
70,662040.27492,4526603.5567375,9936482.66739991,700011.888660765,0.354171610672272,0,13677,39491
71,873230.7451,4455633.88779175,9904356.70973494,716798.424523716,0.325802533402742,0,12642,39604
72,780914.559993334,4310333.61985052,9701546.26650905,684239.261402543,0.324038230961598,0,12664,39637
73,734157.171392716,4166001.66440847,9507829.10600639,835724.010682126,0.321802473318651,0,12365,39709
74,719359.012687014,4144898.31921684,9635836.18888141,678143.10513199,0.31926735478648,0,12380,39773
75,666521.933465022,3838904.92070129,9565088.60080341,572395.061554633,0.320190324083317,0,12217,39887
76,744120.903625937,4318518.84353249,9407086.0849418,667183.515828214,0.32809293704905,0,12700,39967
77,686609.647906614,4024529.90333224,9304597.8578053,758373.069660401,0.326911084123806,0,12626,39987
78,774377.532355624,4482679.67896673,9272265.3916751,681232.818506553,0.333409775914035,0,13062,40075
79,698816.979137147,4174965.46186672,9047030.47591276,613677.182638024,0.330044930650518,0,12881,40200
80,782071.865693033,4442356.65185895,8675003.4431875,651281.585481583,0.335802950542666,0,13354,40258
81,731895.78795024,4165410.1719382,8577570.34405588,754777.735849125,0.334054997253369,0,13261,40323
82,803595.777047143,4435567.13035386,8362277.58874593,672195.367668614,0.336229449953167,0,13569,40395
83,748015.631424267,4194409.04843017,8199056.7367771,596575.826180527,0.335340272217774,0,13458,40472
84,771224.905768056,4425651.91588877,8127603.16468391,637504.755958586,0.336024347268941,0,13697,40594
85,718858.422245223,4191765.08947927,7946060.47820488,730984.223965611,0.334777622021155,0,13597,40666
86,775352.924003219,4385700.88468285,7993290.01548514,615033.080882808,0.33446892511462,0,13742,40756
87,712812.323392774,4210374.77702241,7934344.03659508,586121.210767168,0.331579948032195,0,13513,40806
88,772433.08974502,4392844.85486413,7741204.86548006,603879.651658178,0.334081639105827,0,13740,40879
89,719119.081743629,4162265.96018932,7748087.31515983,707347.411399191,0.331415094339623,0,13582,40926
90,743536.762188951,4338962.42266684,7777779.89864085,540444.85304658,0.332934997955911,0,13797,41036
91,716692.35208995,4058854.5008022,7766240.49446949,525864.367703605,0.330187200150513,0,13663,41088
92,742575.659987918,4183870.98321646,7538639.47293489,539709.143413482,0.330850364620826,0,13814,41165
93,711131.260807981,4005514.66958766,7264157.11836876,642731.629901877,0.326186686639828,0,13674,41274
94,744642.514720349,4170366.17771182,7173008.42638393,542505.640004693,0.327377611474899,0,13822,41358
95,690906.638690658,3996495.44129756,7047582.5392714,513423.615854879,0.323230754898612,0,13622,41454
96,720865.653220759,4081521.94095232,6857528.76663958,506983.499203153,0.323694232019567,0,13743,41516
97,675001.085016831,3951151.86042713,6542615.145253,591481.65768063,0.320484683626472,0,13582,41565
98,693378.809364695,4067540.73656555,6522446.91843709,449383.68934609,0.32044556899531,0,13659,41602
99,655601.555078549,3926100.43071587,6513370.01640396,420589.014840557,0.318574547243489,0,13646,41694
100,695047.138036842,3994269.39784123,6321606.23698326,461442.387523543,0.319879868836383,0,13798,41805
101,672438.825544743,3896939.35486056,6219279.49579259,547780.732141822,0.315802363313537,0,13732,41861
102,683191.756893648,3968023.86151704,5887958.24477328,462523.653549557,0.315263865135597,0,13740,41941
103,664050.660356393,3804567.05152985,5945730.33746363,424909.456094637,0.312094143471236,0,13683,42006
104,675814.79885542,3813798.91044134,5923551.17879479,410762.222914801,0.310953525884895,0,13684,42066
105,648977.398167956,3709592.3736548,5813040.56249311,471576.197551534,0.309518028408401,0,13632,42094
106,630777.986277975,3713914.24865798,5698722.52979276,396727.541365717,0.309318312588959,0,13652,42143
107,606958.876627308,3567397.47465242,5733933.46952631,349022.212144726,0.305725167764948,0,13518,42224
108,601240.588735795,3607177.51045465,5583446.03184319,334874.023004616,0.306414161213474,0,13545,42304
109,564812.565372376,3484618.91863256,5576385.59287252,375629.147723356,0.304089868690519,0,13538,42346
110,581318.412224929,3520712.90121847,5355697.41089878,304400.956056976,0.30147987727847,0,13447,42391
111,559441.43728864,3435329.16022734,5243084.62028276,275645.501692943,0.300813740503858,0,13443,42464
112,553534.415071261,3467666.12396654,5292966.71000267,248336.011538026,0.300278701789086,0,13561,42545
113,537626.686172805,3332067.14420532,5109424.87068935,284672.983317578,0.30016454749439,0,13656,42610
114,532580.249866723,3293805.49242521,4982610.14734319,225828.099061931,0.299455643955255,0,13664,42709
115,527624.075307376,3208761.29844405,4915152.6115741,208280.287445111,0.297761862130707,0,13615,42816
116,516683.728937256,3226213.53201863,4844858.75547833,188466.844535502,0.296905251243559,0,13609,42906
117,497097.423385392,3136036.93393196,4692432.74726046,230405.068925653,0.29521711955713,0,13649,42959
118,499345.080674019,3062915.04027784,4651573.48210503,180561.989324092,0.295865901863465,0,13708,43045
119,474905.618213796,2956102.71798936,4399573.03669233,160379.558371513,0.293435721062619,0,13705,43102
120,460155.215121172,2978899.6514726,4388839.45554542,154907.485782683,0.292087990065638,0,13675,43142
121,434614.13252545,2878073.3953728,4447477.97302276,196303.626164306,0.288580885395118,0,13509,43125
122,435565.683968197,2859478.18620857,4231583.63478538,149103.531306628,0.289778590170701,0,13648,43152
123,415703.287194326,2755946.68723299,4220430.83477768,117953.168660005,0.286761890737741,0,13552,43159
124,414759.670442725,2760934.67112974,4093998.60601489,140270.616362264,0.288536041324254,0,13622,43195
125,380113.883509168,2660413.86522971,4017440.3199677,152325.129358251,0.285118995216715,0,13500,43223
126,382844.49581019,2680428.7742862,3776113.95952287,119459.186304347,0.285270954709137,0,13445,43249
127,352295.221219038,2578471.58170887,3680053.80778554,112623.871500009,0.280946530946531,0,13210,43280
128,355873.764387066,2595517.55504396,3670009.29431256,91937.845744784,0.281854521051557,0,13317,43304
129,318737.731711495,2491194.31418767,3659510.42472199,93318.5687644511,0.279197293197993,0,13245,43319
130,320354.067462502,2484985.10126783,3512966.78514206,79186.7109394769,0.280244399185336,0,13314,43338
131,309985.021499545,2415323.04887399,3501102.33964672,58774.9041026678,0.27981425047163,0,13198,43362
132,302512.165972245,2420768.69293757,3446113.72598587,75352.0225855305,0.277595755168314,0,13124,43377
133,291204.111684697,2358329.78714774,3429528.53271268,98504.220507387,0.27518705411519,0,12927,43376
134,290317.708201184,2377109.88884526,3375540.44833774,75224.0688792952,0.275473008158306,0,13016,43393
135,285707.309426677,2326300.28051386,3290697.92448951,68991.7727156202,0.275254276467869,0,13027,43399
136,263893.142698549,2343829.97580099,3189615.59459055,66854.4463146812,0.273393542430101,0,12847,43425
137,238521.362636747,2263080.23998494,3192396.63152022,85806.5519909345,0.270753954508717,0,12836,43467
138,229119.092116401,2261160.83561237,3105622.75691752,66160.3312783489,0.268562537816579,0,12677,43496
139,210220.094581472,2209090.95433014,3018914.95364451,58240.1140232204,0.266034964430748,0,12582,43506
140,219270.187519381,2203718.59547754,2846568.75314112,47573.0626707897,0.267182377638466,0,12562,43509
141,205777.492831647,2072682.09605904,2808488.06503586,72968.8764901908,0.263197304380382,0,12503,43504
142,203215.611801719,2064843.26758337,2718570.9592929,50828.2916459595,0.26426642147003,0,12495,43505
143,198284.675699076,1996918.52122118,2637247.71010456,47879.3096549907,0.264372098355018,0,12444,43496
144,198567.120223691,2015705.42000976,2633835.49597535,46804.6055680974,0.262428804487822,0,12304,43469
145,176388.151610026,1958423.91127228,2595968.23300147,57806.446741701,0.259538052033544,0,12228,43488
146,179865.552626717,2005297.82199886,2404288.57360524,40432.017970232,0.258761648847979,0,12227,43504
147,166373.975716218,1921158.31273752,2307394.39629652,42981.1361387831,0.257922811421399,0,12171,43503
148,166346.150637771,1916653.30803689,2256264.62346773,36186.2513297837,0.257585245061764,0,12127,43524
149,162184.693081834,1847191.26781935,2182672.57773935,46206.9445981473,0.254581151832461,0,12040,43511
150,157204.617647574,1843235.83708542,2091513.57829907,37957.4813183113,0.254255591235898,0,11996,43495
151,151815.358273234,1780260.54919272,2057029.67716452,24528.9990539892,0.252851063829787,0,11982,43498
152,149219.891225118,1806682.77593793,1904170.94347512,24810.9801694298,0.253031504986401,0,11934,43507
