period,Total_pensions_pre-2016_cost,Total_net_pensions_pre-2016,Total_pensions_post-2016_cost,Total_net_pensions_post-2016,Total_retirement_benefits_pre-2016,Total_survivors_pensions_pre-2016,Total_retirement_benefits_post-2016,Total_survivors_pensions_post-2016,Total_universal_pensions_cost,Total_net_universal_pensions,Total_thirteenth_month_of_pension_pre-2016_cost,Total_net_thirteenth_month_of_pension_pre-2016,Total_thirteenth_month_of_pension_post-2016_cost,Total_net_thirteenth_month_of_pension_post-2016,Total_thirteenth_month_of_universal_pension_cost,Total_net_thirteenth_month_of_universal_pension
49,17715091.29712149,17023151.853301905,17764710.002535623,17069793.433228098,14752676.268174933,2270475.5851269774,14799318.003943805,2270475.4292842946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,20422747.135097377,19622770.7038608,20483176.687965233,19679574.479484096,16969939.80215136,2652830.90170944,17026743.81268514,2652830.6667989576,0.0,0.0,3407167.0425107493,3216617.27416459,3417238.6339333192,3226084.569401395,0.0,0.0
51,19803746.83647931,19026261.304787185,19865434.76680407,19084247.95392889,16392343.747388082,2633917.5573990983,16450330.808702199,2633917.145226697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,21428421.31662652,20585938.194183074,21496839.48812661,20650251.268566076,17680837.580416095,2905100.6137669785,17745151.18692212,2905100.0816439507,0.0,0.0,3574743.4030934586,3375538.16321028,3586146.430466331,3386257.007790491,0.0,0.0
53,18797781.912175488,18060319.160448883,18858978.262232106,18117843.71530057,15421057.593069376,2639261.5673795077,15478583.026328247,2639260.688972323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,19382726.663388796,18620395.550517075,19446188.465412095,18680049.628110733,15814107.507456427,2806288.04306065,15873762.749575133,2806286.8785355994,0.0,0.0,3233508.1712693204,3054070.8677643104,3244085.135381671,3064013.2120378553,0.0,0.0
55,18442736.66280642,17716150.331680212,18504303.192506284,17774022.853574965,14992994.554371713,2723155.7773085004,15050868.348172339,2723154.505402629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,20186956.482786965,19389359.49174766,20255770.52449979,19454044.674243584,16314021.882953072,3075337.608794583,16378708.349564515,3075336.324679068,37448.292796407666,36324.84401251543,3367077.329107335,3180782.091966952,3378546.333095974,3191562.953679331,6241.382132734611,6054.140668752572
57,19311651.973657012,18548526.856956754,19378703.256028485,18611555.04774461,15547890.348162228,3000636.508794523,15610919.6675292,3000635.380215409,68744.48413150136,66682.14960755632,0.0,0.0,0.0,0.0,0.0,0.0
58,20639055.89347263,19821653.006043434,20711369.232136324,19889627.52894737,16527188.212595845,3294464.7934475867,16595163.84412573,3294463.6848216425,105406.41037662215,102244.21806532348,3442089.476894985,3252401.9127116348,3454141.6972680236,3263730.998004613,17567.735062770364,17040.70301088725
59,19826927.310303994,19041077.442823403,19898364.494931184,19108228.381665323,15820742.727614515,3220334.7152088857,15887894.698806472,3220333.6828588448,153068.2711405668,148476.22300634978,0.0,0.0,0.0,0.0,0.0,0.0
