period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
49,2747604.08451689,753519.756998531,1397358.47336594,182428.853607535,332038.200845071,30671.555365938,16899.6221460295,30614.8355959561,7163.81374751577
50,2510830.96770204,689941.865137704,1303611.92152628,179351.980070104,251994.262433649,23299.7822358536,19043.7931457185,39677.4172458686,7312.07786680016
51,2906693.7310791,907327.032604693,1562656.81595711,342613.030686125,0,8764.40179633962,33746.6539185681,44627.0346767718,9344.53851084417
52,2769325.92947457,898440.556446048,1442168.90307394,323374.216377196,0,5769.68096546344,34986.6116730581,57526.9205696257,9109.29736816843
53,2793101.2101332,647554.115120401,1249367.46855701,283563.658151841,538999.709625796,5294.47597084761,24537.5466940007,38224.4864888087,7771.10937584183
54,2331647.96318717,680795.003148761,1300821.25842761,280570.702872665,0,4154.67728758324,25512.65892471,33624.6822920349,6903.56763379462
55,2039338.44380861,520240.477417715,1191939.53108186,261862.874210702,0,2554.06583234318,14781.8179865472,44280.1082316382,4366.53379936127
56,3403357.11542266,1707989.0489904,1239428.00304863,345915.473354382,0,6353.06347753662,59945.6377222666,32547.2745411007,11897.5380937163
57,3715687.12735543,1371769.14091899,1243147.02279951,327751.426600729,660068.994644146,5916.91084893993,49077.0242176078,50357.214378332,8666.17789034944
58,3367505.53624844,1690243.97281365,1215252.77163695,361490.26165128,0,6611.41512111237,50370.8347311861,34051.5037323749,10067.5153165233
59,3108473.45539602,1473373.7108226,1189151.6795706,344425.1355417,0,6247.05133225795,35896.5316324466,52854.6702069456,7149.73190282391
60,3479595.20109213,1836491.96813366,1174436.15554609,368977.040250725,0,9613.25310810778,55196.9985848724,26752.1829528534,8803.06632413151
61,3751880.84074223,1556199.2613115,1062598.54165983,342419.361784791,680351.376675993,8205.2974750877,56337.2261702995,35946.5040117149,10049.7076807453
62,3440306.93910266,1781690.96850656,1166865.26539329,366956.356877907,0,7711.31189993545,58394.236196846,49050.9482815844,10305.598267068
63,3036229.45601712,1521011.09869971,1070212.45599893,329852.883206976,0,13461.6656049756,52872.5019058814,39731.886491997,9202.61410657317
64,3093006.03153465,1587317.47438695,1055633.78957619,326236.136881546,0,8951.92060666426,56997.7543963981,48316.1913239047,10142.216077462
65,3178831.49729458,1280911.65052034,932602.113482837,295654.883865219,571354.039274309,8233.69353323555,47840.4215754158,33081.8289812117,9346.76712542469
66,2867258.26794904,1458616.23014591,986100.839637552,312521.452746938,0,6594.0826012733,51329.5769879525,42371.4932260589,9832.00453195705
67,2483574.50084256,1140960.84984181,970022.762590897,285989.886558211,0,6155.40342029092,38603.1339440212,34958.8681405263,6982.02532254826
68,2484480.4611088,1157077.6600933,962569.888161686,290155.200121252,0,5199.27827157241,34661.481884207,28083.6883521254,7014.48964329156
69,2579867.01839791,874221.861055148,907243.459024091,262609.182596127,463273.263106432,5006.23464607985,27365.3970316927,35783.7623151619,4769.540020047
70,2369210.32059036,1145104.01669897,843997.758681916,300063.253985819,0,8014.38504042167,34351.6130691037,30431.4472075457,7349.05065643239
71,2168944.61030955,995083.571855032,819338.92354724,276009.566923872,0,3847.24419759597,28888.8794947815,39487.7594258688,6383.21762621646
72,2270139.67150258,1092716.13170868,813811.873107938,288705.205628185,0,6078.91472907476,37614.8398624535,24009.7290748297,7416.1814229344
73,2519878.42848273,914764.760452277,816853.480357528,267546.062212411,456414.778562432,4519.58422604288,24701.3068621269,30004.0727704075,5384.54764024732
74,2419400.48077306,1166558.66953031,865999.593988348,305904.422580361,0,8376.03071329462,32486.2078716774,33547.8666990639,6628.58370036598
75,2178076.19712276,978686.152768593,824867.32056021,278750.462093383,0,3267.93716378003,41997.1617836767,42825.4507977625,7775.95389359963
76,2383508.5274349,1112375.16380733,885661.642778026,293323.716866727,0,5580.00609432473,47563.3073087361,30795.9483526515,8426.47141163936
77,2559244.25769971,938012.064937345,813667.518431453,274074.494329664,462941.507345776,5586.09436504852,31598.2611345003,26796.3313465505,6749.19875076785
78,2466543.01016049,1180994.79210832,892816.529733254,306496.153581884,0,5781.00123851801,37508.4004883068,35643.3047307518,7527.9329671688
