period,Total_family_benefits,Total_contributive_child_benefits,Total_auh,Total_spouse_benefit,Total_school_aid,Total_wedding_benefit,Total_prenatal_benefit,Total_pregnancy_benefit,Total_birth_benefit
49,2787358.86100631,775095.09496103,1398729.04448285,183412.062248337,340240.960376739,24930.0281906161,27399.0449287134,29569.1035769464,8738.87790546963
50,2502643.98793689,690611.898625936,1290732.44846469,181992.46044066,249986.77406109,17575.407611417,23213.5241702553,39615.8738067099,9671.67401101647
51,2962793.4200645,907876.532769009,1604273.26063243,348895.173780538,0,6803.32829928245,28870.8218845441,57517.8750050794,9843.72577602194
52,2821865.23415215,873658.405455222,1517317.34643265,327834.785061086,0,8958.17779195341,30981.6833872151,55451.6317055903,9090.21148861102
53,2815452.66766096,599954.157426935,1331681.61491237,284421.962516335,528068.26470207,4221.82889103952,21411.0407237738,39505.6579046911,7205.97383817535
54,2799672.68759958,1144922.08117164,1287954.65748606,283775.887308353,0,2618.20333140827,36542.7237513816,38964.2661641675,6759.80141466061
55,2449612.32391085,884713.114519032,1218747.79209035,264733.598222652,0,2518.35219994178,36902.8230355177,37345.6551413699,5194.80639432578
56,3892020.02759105,2097312.42001285,1313539.69935471,340587.183917911,0,7999.06667673819,84761.0213534524,36552.130725336,12187.1677746789
57,4221401.70003828,1781099.77766058,1253913.8656701,318778.588520519,749708.311741293,7636.28806997039,57830.9948162657,45467.6230776791,7980.4798493973
58,3866438.98553997,2164948.83470769,1213888.29359725,348017.350997872,0,11352.3240265817,73904.0017316265,42680.519906777,12575.4241372484
59,3510870.42223416,1875581.06035871,1161814.44803712,330579.177457988,0,9889.46024836833,73939.5054818167,48695.2366159341,10371.5340342201
60,3990190.2937854,2288208.33717249,1191253.80169531,351567.576702355,0,11728.8890083682,85351.3560926168,51492.5747550666,11133.2335279283
61,4233928.89780723,1902877.52364319,1131440.41356218,329248.389812646,751043.237650709,8598.23793885988,74303.0923384209,25399.9724034743,11031.2207440697
62,3588595.99995165,1932075.88155794,1213614.01898315,324340.085406731,0,7128.25675138514,66331.048843053,36482.6913570081,8637.0090797373
63,3273402.42746215,1732348.29528777,1102338.21484059,309718.368769039,0,7376.73385103044,70401.7485907089,43047.7018620193,8183.72207765781
64,3038125.44366606,1629068.67237062,1010314.79333698,284731.925287276,0,7298.70540881187,65756.9927223348,31933.1243935793,9021.23014645538
65,3559515.16025304,1542915.25823762,989721.787839889,278598.136129824,630864.575043249,6070.62642893557,65871.6976243046,36389.5710394912,9083.50790972956
66,3292886.12995688,1630566.42220544,1276365.0385,282917.466466682,0,6169.55732468686,66263.832710901,23027.3596069175,7576.45314225501
67,3221614.34784742,1582563.94126643,1231637.93122,291326.15502078,0,4079.48990495748,70708.0303002219,31672.2551045451,10145.4554704791
68,3291561.62498713,1605425.21323976,1286241.00282,287859.829175188,0,5040.12910267519,68609.7857900671,29486.6750191008,9473.29388034306
69,3802606.59626758,1541859.35776799,1235200.19818634,284266.217057393,633854.255475025,5402.69725035066,62893.6549052519,30386.1044057427,9040.41732226735
70,2966127.70886977,1836426.78278486,719857.148076304,306462.110817964,0,7095.31541276765,57625.9843715954,29056.4208447742,9603.94656150742
71,2954844.67502405,1709253.68196235,834734.44473787,300335.605347862,0,4445.98311320324,72435.7014906851,24283.9084677291,10016.8343738997
72,2951808.46225217,1689299.26031161,861786.718651364,290340.831567863,0,5696.1062089161,60063.5854244469,36063.5564107224,8558.40367724768
73,3386475.78944687,1547836.76340293,865374.12981966,277889.16642298,603518.18378799,4718.1667347516,49025.3414161973,31252.1414452529,6861.89641710029
74,2920270.0300548,1605281.31524081,930597.714965305,283714.44402503,0,7894.57446673515,54125.8776597267,30654.3262988084,8001.77739838625
75,3036480.03663536,1628704.80255423,1007409.42275972,291993.993679873,0,10128.435093716,60127.51467498,29166.4949191741,9109.50110199737
76,3136437.82031777,1702302.25714751,1011800.98247453,301209.404463639,0,8977.25737637771,64979.6852173764,37246.7413371924,10134.6005150677
