Period,Total_SIPA_income,Total_wage-earners_SIPA_contributions,Total_taxable_income,Total_gross_wages,Total_SAC,Total_autonomous_workers_SIPA_contributions,Total_Monotributo_SIPA_contributions,Monotributo_integrated_tax
49,18034497.499367,17367019.5855732,61396751.180196,61396751.180196,0,394108.180340275,180775.09686771,132278.052265445
50,22385764.1527932,21648646.0020164,76538155.1354227,65604132.9732195,10934022.1622032,465703.581884386,175132.932221331,137545.195244366
51,20234056.7711665,19557502.2670642,69201837.7522827,69201837.7522827,0,405476.538367457,168246.904025317,146901.516727808
52,23483163.7309384,22800277.6964896,80693096.3076113,69165511.1208097,11527585.1868016,419597.106877839,160777.181539976,146445.351472853
53,19146816.254714,18529100.6215051,65580466.4835956,65580466.4835956,0,378658.160597499,140524.226328756,140761.780403749
54,21810280.3571705,21160668.4623184,74903236.5972534,64202774.2262172,10700462.3710362,425811.298341677,125573.370686728,140324.608319577
55,18980756.5787828,18385522.0533272,65095158.2750847,65095158.2750847,0,381129.270811297,115652.520523482,140646.763029675
56,22397188.7827913,21792373.1554342,77128525.8789395,66110165.0390909,11018360.8398485,393019.012142057,110280.791262627,145022.605646437
57,19615633.2382376,18922773.9883454,66963570.8771658,66963570.8771658,0,378297.632258294,231105.10456155,119223.590103333
58,23378790.7203935,22694454.1202544,80224936.5686824,68764231.3445849,11460705.2240975,362617.77614439,232427.543355756,127558.97234145
59,20578914.6776703,19886201.2196337,70287204.1445025,70287204.1445025,0,377360.511465342,223852.144990663,130715.43082937
60,24419598.4120469,23685871.6563097,83697046.4213687,71740325.5040303,11956720.9173384,412542.037858259,224459.021316239,138179.566518179
61,19446933.4382352,18753634.0126449,62929071.0538336,71195705.1024942,0,353916.305609579,251308.902906091,125820.310106618
62,21970032.2997489,21267538.5874926,71371446.577601,69278745.9918297,11546457.6653049,370331.122204167,242169.229853259,128561.943141318
63,18061907.8282328,17415118.5267505,58676826.5236093,65722627.1722019,0,337262.858522078,224744.274099132,121117.384087286
64,19818011.5998267,19200364.5609438,64704914.8045771,62155156.1611251,10359192.6935208,324898.340178952,210506.785363329,117488.447629411
65,15851385.0013307,15248005.3962422,48714835.2312586,61901140.1678812,0,323734.336312093,200133.164224877,113588.720787944
66,18844983.0549242,18247154.4675525,58995553.8146584,62532043.0037038,10422007.167284,320087.638554397,201073.033913401,109525.592719891
67,15710193.8603896,15080452.4095751,48938002.922992,59933007.6253545,0,359860.332902782,196471.312890867,104871.150029721
68,17902042.2470529,17264995.7463398,56474693.8168181,58166443.4546368,9694407.24243947,365703.308487677,197612.98762775,105328.863710972
69,16304579.0432771,15693231.5354693,51339810.4724055,60671435.4157095,0,324190.935966892,207295.19361215,114087.683183919
70,18365443.0296992,17756413.9204524,58260567.9088203,58670794.0258218,9778465.6709703,352131.781772805,198953.677395252,82776.6429695547
71,15764477.6658617,15185009.4097571,50010128.4564134,58183157.1059464,0,325830.85585233,195695.451347645,82774.2127209376
72,18875893.3489712,18296946.2259085,60406480.1711599,59903849.0142834,9983974.83571389,325131.959076863,193213.316104696,86574.0684015909
73,16558636.1662198,15997782.4817061,53078969.2914034,60672321.0193886,0,304824.980557665,190720.343592903,93297.6576615791
74,19473865.8839058,18904381.9142903,62783784.2537181,61405036.600261,10234172.7667102,309674.715921409,192556.55693513,96075.2810842177
