Period,"Gini insee, all income","Gini insee, labour income","Gini insee, labour and pension income","Gini insee, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income"
49,0.3874192901214738,0.45872715737687347,0.40556512438840941,0.43905498580729235,6.761836884968499,12.046619323831655,8.405526558068278,9.225249564571778,0.23347310079532455,0.26619229060255184,0.2427669747802873,0.2528301317758013,0.027955855520559993,0.024075942077724042,0.022094921510829712,0.03165490048584798
50,0.38643218107517685,0.43168929631167319,0.39972937841115352,0.4232940750130984,6.601285167127308,9.599602082990529,7.737692481129795,8.295345704341694,0.23293676248773987,0.253202005926295,0.23979967940987099,0.24350203884582577,0.029931619636702947,0.024622944152412597,0.022865365894338772,0.03401318493730768
51,0.38774280071484701,0.4326273768026343,0.40399343132766913,0.41903532169010099,6.399055211477162,9.785247500723958,7.832758409862519,8.163350779799552,0.23290346985954288,0.25846539527441054,0.24094988245789511,0.24711857939753,0.03193173588468526,0.024396949995018017,0.024325776139586853,0.03439262090391758
52,0.39063343238283349,0.43666633447226055,0.40582345509587103,0.42105681163788689,6.602101103917428,10.21388119204034,8.183483346152142,8.05083269204567,0.23228327099472937,0.25515882760167324,0.239360114897687,0.24508809155759007,0.03094321610365779,0.023666446403520235,0.02412237889672347,0.032789671452407215
53,0.38825115362148976,0.43905978480838453,0.40496758988630938,0.42177786358722186,6.470451944131282,9.907112929468665,7.881635189321532,8.047305718924937,0.23135095510201947,0.2606843714573106,0.23942787386137954,0.24914297500343854,0.03250414705681508,0.024983953078009918,0.02557963259019817,0.034097392974301144
54,0.38935526336078574,0.43906550421255536,0.40594810378951801,0.42281153045403264,6.603659050423353,10.2421605670872,7.993375612406195,8.234994873959293,0.22989694378194594,0.25703269398130624,0.23832765203731032,0.24492790342179216,0.032372560344826995,0.025008688611342946,0.024526363029856866,0.035431739785813716
55,0.39130465432095296,0.4372529930121879,0.40653859175795215,0.4219403007156442,6.55562710737689,9.903880771897573,7.881117493384013,8.000162976760624,0.23302484029657064,0.25845355179762136,0.24068474561520944,0.24764924185089576,0.03294138888180533,0.025889168024855524,0.025399067280563688,0.03577577595066618
56,0.38351360690380654,0.43543279834796217,0.40201464106607837,0.41538347890392791,6.377212374845979,9.841655384794684,7.791952212082658,8.100496484600582,0.22374582179333716,0.25096106020183667,0.23424537452914979,0.23586120930573987,0.0328682881143234,0.027482353512593,0.025529732139585336,0.03721257462358031
57,0.38506356999847957,0.43918824200107587,0.40568391656360742,0.41707723303778854,6.329000206576508,10.103369163131335,7.846973542880277,8.06797658249608,0.22811379658503328,0.26291610049784486,0.24037304159237094,0.24510246112371445,0.0345134485668133,0.02673671431444283,0.02591996207797157,0.03809517300319486
58,0.38519207331994992,0.43981139935417496,0.40329945341485601,0.4205567301376541,6.6562083609085745,10.215382000578789,8.12725891640132,8.3117108349811,0.2263771174976042,0.2572489195915156,0.23703371628090483,0.24160876482924173,0.03348106453219171,0.027020092203905086,0.025734139302989626,0.03741075035177644
