Period,Total_IFE_expenditure,Total_pension_expenditure,Total_labour_income,Total_fam_benefits,Total_IFE_coverage,No_labour_or_pen_income_hh,IFE_ben_18_65,pop_18_65
49,0.0,8801732.125813663,26663112.174877413,1428032.9059511265,0.0,0.09731558363476417,0,6958642
50,0.0,9099472.853505984,25704978.291211076,1044061.62084268,0.0,0.08276097971762915,0,5857720
51,0.0,8036352.870136766,24925934.1027568,1157388.4964289868,0.0,0.08256287318042886,0,5366614
52,0.0,8299984.575051331,24061148.83945323,1000020.6319366599,0.0,0.08392368924574671,0,5166880
53,0.0,7083783.995987994,22118187.552436277,1046055.0514170468,0.0,0.08470623880469705,0,5001810
54,0.0,7142130.573423475,20852276.68993058,998805.2233168599,0.0,0.08213805166538901,0,4838165
55,0.0,6525975.468946805,20594764.956309125,893726.8907808299,0.0,0.08863086994853026,0,4677801
56,0.0,6833679.678694021,20277959.62889022,1287258.61845311,0.0,0.09370155222019036,0,4525853
57,0.0,6453657.991364121,19728533.872677464,1412074.5282267763,0.0,0.09678952342111223,0,4393292
58,0.0,6755216.828190871,19191773.961746752,1209556.8916122231,0.0,0.09191944904916202,0,4237335
59,0.0,6307761.302507317,19297407.47987442,1079768.5789021798,0.0,0.09823508367035969,0,4132143
60,0.0,6595341.944835454,18780930.570648815,1146597.2423936801,0.0,0.10073165104977426,0,3994424
61,0.0,5915489.407150706,17705249.001925196,1241166.0148052233,0.0,0.10831058303029019,0,3842103
62,0.0,5685722.827180793,16406597.517963704,999697.7272957633,0.0,0.11579455483901387,0,3716954
63,0.0,5166576.941238742,15208148.358807202,882218.5176619198,0.0,0.11186827945008483,0,3598148
64,0.0,4550237.47454928,13872957.853066303,793623.7293119798,0.0,0.11723267808051123,0,3491105
65,0.0,4409453.3150954135,13313398.412869329,928348.1274800533,0.0,0.12219661473392816,0,3373884
66,0.0,4362574.430800367,12931278.583145222,850963.6250385233,0.0,0.12116738837418399,0,3300224
67,0.0,4394577.867240301,12312390.605490731,796414.95170181,0.0,0.12133072534978316,0,3220871
68,0.0,4217575.317098869,11673466.244070726,814216.8782573001,0.0,0.12251817621770927,0,3125100
69,0.0,4685162.0673641525,11892569.360391354,920270.8106051534,0.0,0.1276599817728221,0,3066552
70,668948.9818400001,4249710.443436702,9844027.476365903,649561.8893434434,0.3699937077820585,0.0,1155959,2974029
71,922174.20246,4138937.4237791672,9671924.837405914,689348.6915328633,0.3726994535760104,0.0,1137582,2872846
72,272219.72393,3977084.840437109,9858089.971401358,639029.1607069502,0.35335165247325184,0.0,1060366,2839347
73,0.0,3666884.0619919165,9663450.571028009,706238.5245150467,0.0,0.1292024563538172,0,2779291
74,0.0,3661596.945542002,9603646.036033839,551359.3920413135,0.0,0.134529581886403,0,2710544
75,0.0,3760162.616445921,9465793.32805021,562448.6629014766,0.0,0.13457973360026318,0,2654913
