Period,"Gini sedlac, all income","Gini sedlac, labour income","Gini sedlac, labour and pension income","Gini sedlac, labour and family benefits income","Decile ratio, all income","Decile ratio, labour income","Decile ratio, labour and pension income","Decile ratio, labour and familiy benefits income","Top 10%, share of all income","Top 10%, share of labour income","Top 10%, share of labour and pension income","Top 10%, share of labour and familiy benefits income","Bottom 10%, share of all income","Bottom 10%, share of labour income","Bottom 10%, share of labour and pension income","Bottom 10%, share of labour and familiy benefits income"
49,0.39484336257176361,0.46628265278657888,0.41204726438439876,0.44768075989534312,7.092386071990096,12.161871454256717,8.738904918883128,9.767050467119606,0.22989763758696574,0.260532889905575,0.23896458446917998,0.2475686185371185,0.031488542284057515,0.026217274743419727,0.023697839344310166,0.036298503062163825
50,0.39041699548307274,0.43689753334977566,0.40281427574665712,0.42889774034787254,6.829079869526868,9.878493922394082,8.039060797139971,8.52397929616176,0.22491486234346317,0.24599561747908602,0.2311623721272597,0.23711282658362368,0.03464626302239218,0.027747373393580157,0.0267814454575607,0.03821743920581857
51,0.3940791171003038,0.44036067581072424,0.40811565883559475,0.42786729314042771,6.821865910874907,9.987657378019447,8.33425054925912,8.49701350182235,0.2319469345428389,0.2553817677470128,0.2391920171638755,0.24530755200057733,0.03557741556622333,0.026845993330331306,0.02694541421790936,0.03809062595979464
52,0.39788982978573456,0.4469324329013093,0.41180492142761355,0.43378772046304054,7.0537241587315895,10.488638596406975,8.548626528391022,8.706921465841672,0.22995237558600312,0.250725576908701,0.23690816977645907,0.24095055372041027,0.03639804808862482,0.027818965611695452,0.027004076125553958,0.04026106743457428
53,0.39936485609038785,0.44737330877233877,0.41391043801189076,0.43335126266004381,7.001980090215149,10.629573690478582,8.329631145222134,8.596263472073035,0.23286605207408465,0.2611316572950844,0.24066913982544122,0.25007805044867304,0.036733393968028355,0.027347089036041397,0.02750919246721248,0.039396789648160846
54,0.3980609965683401,0.44416788035711446,0.41017564134269507,0.43474626218177609,7.2030686429086765,10.539754112948222,8.288496913644147,9.000544085904412,0.22978322242025423,0.2522216943900712,0.23609408988305708,0.24328147189687582,0.037025964100390815,0.028447458283670575,0.028008198011672782,0.04039003913486701
55,0.40358831052097105,0.44547491354485547,0.41498254610833063,0.43685126567247923,7.069526014301223,10.405987027746557,8.178533134501267,8.988243053561128,0.23054294864468453,0.25775775210240665,0.23649604857917123,0.24929476462776265,0.03677408904623344,0.02761831624143154,0.0282032074182003,0.0388169318543109
56,0.39179802013630644,0.43909760065436076,0.40716923821039069,0.42387886872613578,6.8361872059328945,10.141544812359308,8.08611323802249,8.322806587056775,0.22422078364603978,0.24736250156439962,0.23310834184496215,0.23483427600137174,0.039230793006820835,0.029913593923108845,0.03054425157364617,0.041483410874999196
57,0.39593652942949886,0.44636832334751414,0.41252873912344806,0.42925366036575169,6.795784912775805,10.870075960946288,8.121260575281092,8.578532200946585,0.23143144903842566,0.26187075464640974,0.2418445359697854,0.24705398441448184,0.037754989309705694,0.029298773690176482,0.02907187951418397,0.04069443626363409
58,0.39657347016774941,0.45607740278403658,0.41262699772891992,0.43966799204176343,7.058590425309859,11.397962826400896,8.546482026697511,9.128660790889377,0.2277294545774608,0.25585325773920753,0.23686025823691462,0.24266242367090066,0.03837444518889733,0.031609506867224,0.029028537866132437,0.043970472373895904
59,0.4000784895480643,0.45501149364679883,0.41495828749944558,0.43994675659598209,7.004201035442933,11.399915896750347,8.392872564716429,8.78141455434584,0.23136421315529174,0.25832690452417534,0.2397703494458181,0.24642643612812828,0.03871928099504507,0.031701902856079205,0.02978186205323692,0.04335367453928853
60,0.397287161495404,0.45347710824307036,0.41263525549794455,0.43533854384005571,6.924338336259822,10.960819884479237,8.166576265289375,8.466371144603102,0.22730898545104833,0.25142732564031733,0.2359910933395039,0.2390822079469432,0.03894507487876074,0.03328520598345727,0.030067190019762265,0.04497082608480308
61,0.39979707796429503,0.46015505591389055,0.41659831902189642,0.44037727911274882,6.757135860342026,11.431799726990585,8.21232116299184,8.893715406048488,0.23232789219946115,0.2676542400728843,0.24244501923417125,0.25298116924483716,0.03894784428346214,0.03078177489205465,0.02915619483643738,0.04355400220489405
62,0.39622103585198354,0.45039417188869607,0.40998349854343386,0.43536755771911156,6.99389703299599,10.92680594328591,8.270597128200984,9.067670362071174,0.22701019124589036,0.2506941302143506,0.23582454709418188,0.23806564069691247,0.03855341129566239,0.03143580076327863,0.029272485575420237,0.043832845811804036
63,0.39202562286746395,0.44671624605079346,0.40619114155367914,0.43208741912829041,6.90050882955397,10.753677629562183,8.18719523929944,8.778591673659932,0.2247090661932942,0.2502288752153471,0.23326334732035375,0.23801003910514568,0.037371438785547995,0.02914036915378862,0.028317815438705984,0.04115340882091775
64,0.39402878476139669,0.45234624647447569,0.40969978231125298,0.43478628366510996,6.94923639724285,11.035693867323847,8.185860364407333,8.918985543245526,0.22617797395635264,0.2513147973753138,0.2350159512114688,0.23855000656978298,0.038182040120394375,0.034590868112424254,0.030722853639717218,0.04446653586052665
65,0.39561434180020227,0.45166565143808018,0.41215432566541238,0.43302183454123444,6.842961797185215,11.33895968374527,8.308723649110034,8.729326169254419,0.2275187835361492,0.2625351802766984,0.2376761573268422,0.24766755416869085,0.03906519599811586,0.030935668752656853,0.029422131175735663,0.043627013925504214
