Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
49,899448,1123503,1020652,1026686,1043210,918436,752021,691448,669900,661060,474337
50,875832,1137527,1028848,1016784,1055905,921697,764510,690134,663173,656190,487179
51,873035,1130401,1056530,990619,1072133,925477,765017,689574,673618,651101,504387
52,860768,1134536,1057679,1000485,1061218,936137,768584,690180,677365,646526,515460
53,850242,1133091,1066634,1003030,1069275,939923,764920,698463,685227,630945,542662
54,852769,1137803,1054636,1013077,1065602,951055,771573,694790,685580,620931,556898
55,853413,1137196,1071635,1006572,1075001,948112,772536,702467,680165,630916,542403
56,832818,1150326,1071368,1008744,1076283,944120,788057,709465,670997,638257,556099
57,831751,1148668,1086566,986374,1092801,940839,796258,713257,676468,631608,565914
58,825127,1141578,1106998,991553,1089354,930266,815653,705951,683634,632788,573620
59,831250,1122757,1114706,993751,1088179,942890,813786,718908,682278,645446,566265
60,833387,1114335,1124211,991518,1084238,950877,821076,726446,672028,638589,578637
61,821725,1122552,1119598,1007138,1066596,981213,811831,732119,672758,635560,592378
62,818859,1117054,1126308,1006762,1069133,982150,819128,741285,666224,651223,588378
63,830043,1119925,1121356,1013692,1062927,994885,833438,726145,674929,642831,601318
64,845275,1097720,1128571,1031746,1046244,1008631,832685,736445,682687,641233,600154
65,853136,1093943,1153600,1003970,1048052,1007872,848464,744024,678879,642452,604702
66,850512,1091923,1134836,1016706,1030509,1031935,878596,726085,672972,650935,607520
67,853442,1093876,1129155,1019654,1033318,1022615,899042,720224,677185,654082,613179
68,868479,1083183,1137895,1009670,1042363,1018055,908701,727428,677570,656342,625910
69,863633,1092833,1122671,1018999,1024340,1036361,912221,742100,678484,645774,625930
70,857722,1077571,1136695,1027914,1014063,1049056,916232,751635,678744,639599,622176
71,857782,1079096,1129510,1055596,988434,1064962,920230,751344,678297,651256,615849
72,880191,1063698,1133798,1056592,998300,1054047,931645,757511,679829,653489,615492
73,893651,1051797,1132353,1065547,1000340,1061030,935273,754873,686076,660481,597315
74,898700,1056724,1137065,1053079,1010209,1056473,944935,762658,681605,662572,592697
75,896774,1053596,1136458,1070078,1003704,1067634,938719,763247,690753,656506,602766
76,895436,1043774,1149849,1069811,1006559,1068738,935032,778681,696157,648291,607386
77,886427,1045954,1148502,1085009,984189,1085256,933538,784661,700160,653030,603592
78,882641,1035088,1138989,1105555,988708,1081299,924392,803864,694636,662892,605093
79,871559,1053561,1120275,1112950,991637,1079929,937095,803556,705331,663812,613898
80,852487,1064151,1111853,1122455,989313,1080270,943222,811489,711577,653934,611595
81,839506,1061194,1119878,1118433,1004462,1062630,973219,802263,718649,653057,609604
82,846493,1048978,1114899,1124717,1003993,1065276,973886,807793,727339,645539,625850
83,836190,1050097,1117770,1119439,1011298,1057265,988838,818987,709977,655481,616631
84,828969,1062515,1095382,1125922,1029427,1040507,1002923,818599,721252,665733,611923
85,821541,1054953,1093509,1149154,1001527,1042349,1001426,834575,729625,662000,612431
86,830091,1057313,1091489,1130390,1015581,1023674,1025055,864604,709916,655516,621711
87,833797,1061790,1093442,1124709,1018861,1027491,1015533,886463,704847,658229,624822
88,828715,1082824,1082749,1133449,1008970,1036610,1010746,896577,711546,657772,630327
89,837180,1094909,1092399,1118225,1018299,1018662,1026629,900552,728993,657779,621930
90,828772,1102667,1077137,1132575,1026888,1009011,1038979,903219,739822,658804,614824
91,825059,1096537,1078662,1125655,1054364,983359,1054030,907363,739018,659335,624941
92,821614,1106055,1063351,1130446,1054778,993001,1043901,918415,742441,661981,626807
93,837416,1100602,1051141,1129567,1063123,995431,1052015,922320,738445,669785,633195
94,845398,1092581,1055400,1134279,1051327,1005178,1049616,933459,744903,665297,634634
95,847984,1093506,1052178,1133672,1068326,998926,1060648,929355,746223,674820,629580
96,862114,1084643,1041762,1147063,1067798,1001392,1061536,925555,762407,679309,623595
97,845578,1080367,1042685,1145467,1082824,978864,1079118,922812,767512,684284,628155
98,862299,1078079,1031820,1136958,1103228,983519,1074704,914294,785097,681039,635023
