Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
49,900776,1123503,1020013,1028675,1043210,918687,752179,690584,669944,662637,472251
50,877071,1137527,1028928,1017366,1055905,921948,764243,689328,664327,656771,484233
51,874274,1130401,1055488,991920,1072016,925059,764580,689271,674255,650747,501684
52,862103,1134536,1056637,1001503,1060446,936828,770672,689265,678029,645536,511726
53,851577,1133091,1065592,1004048,1068191,940614,767191,697548,687328,629953,536478
54,854193,1137714,1053796,1013774,1065671,951817,775467,691917,690129,619998,551175
55,854938,1137107,1070795,1007269,1075008,949332,775283,701324,686662,631561,538492
56,833588,1151253,1070387,1009946,1074844,945280,790319,707056,676122,637621,550911
57,832521,1149906,1085633,987528,1090037,942291,795762,710513,679458,627777,565441
58,825992,1142816,1106186,992202,1086804,933002,814899,704601,686220,632414,571045
59,832115,1123922,1113894,994295,1086165,945086,812707,716015,684241,644298,565455
60,834252,1115010,1123399,992167,1083904,953266,820769,724642,674109,636382,579369
61,822590,1123227,1119578,1007228,1067357,983265,812305,728841,674193,634253,592725
62,818997,1118375,1126094,1006973,1068421,985675,819120,739802,667206,649964,593354
63,830181,1120772,1121191,1013903,1061836,997679,831140,727179,674663,645376,605705
64,845474,1098567,1128359,1031808,1045031,1011367,831071,737283,682269,640137,603918
65,855041,1094381,1154209,1003629,1046839,1011478,847026,744388,679566,641597,610391
66,852519,1092288,1135445,1016478,1029369,1034834,876290,727778,673884,649193,612984
67,854992,1094410,1129518,1020008,1032469,1024876,898379,721825,675894,655131,619871
68,869989,1083597,1138056,1008330,1043607,1020378,907686,729348,676085,656952,631886
69,864597,1093247,1122832,1019066,1023104,1039412,913553,742384,677099,649420,629087
70,858686,1077840,1136524,1028302,1014206,1050782,916734,754514,676877,646037,622879
71,858645,1079466,1129496,1055063,988760,1066134,922411,754777,674739,657543,618826
72,882810,1064068,1133631,1056316,998522,1055219,934180,760722,672946,658798,616245
73,896632,1051328,1131973,1065271,1002513,1060965,938633,756753,680987,666783,604756
74,901808,1056999,1136445,1053382,1012755,1057228,950577,764980,674496,669671,595090
75,899882,1053871,1135253,1068904,1006250,1066313,948342,764505,683314,665556,604418
76,896788,1045050,1147773,1068368,1008927,1067403,943105,779948,691262,658203,608938
77,887708,1047230,1145885,1083614,987071,1084139,939138,788970,694408,660721,601385
78,883922,1036364,1137448,1103512,991506,1081966,929270,807534,688388,671164,602641
79,873386,1054291,1118627,1111220,993482,1081443,941599,805111,698310,671398,610623
80,854253,1064942,1110205,1120725,991354,1079376,949695,813468,706879,663075,604010
81,839394,1061384,1118422,1117079,1006285,1061978,979829,806876,712469,661088,601072
82,846381,1048595,1113570,1123595,1005975,1061014,981154,813262,723731,652489,615151
83,836078,1049834,1115490,1118904,1012842,1055074,991645,826142,714817,656316,615525
84,828911,1064028,1091509,1126119,1030747,1038997,1005044,825624,725458,662358,614202
85,821483,1057041,1086846,1151969,1002568,1040694,1005001,842322,731201,659204,614471
86,830208,1058981,1084753,1133205,1015417,1023224,1027778,871779,716166,655731,616914
87,833914,1063933,1087062,1126693,1018910,1025367,1018600,893791,710814,657203,623139
88,828583,1084927,1076409,1135231,1007232,1036845,1013690,902190,717050,657183,625164
89,837124,1097012,1086059,1121484,1016392,1017401,1030825,908272,730267,657975,616273
90,828487,1105504,1073707,1129743,1025334,1009204,1041494,911912,741229,657198,609770
91,825276,1099456,1074515,1122715,1051069,984085,1056525,916436,741166,653533,620634
92,821831,1108891,1058987,1126850,1052352,995975,1043076,926168,747231,651487,621761
93,837633,1103491,1046937,1125414,1061405,998251,1049660,930528,743598,659091,628038
94,845615,1095368,1052608,1129886,1049316,1008128,1046919,942104,751886,654340,630794
95,847858,1096636,1049480,1129279,1066315,1001497,1054596,938909,751367,662838,628125
96,861538,1086017,1040659,1143472,1066001,1003294,1056480,933903,768912,668770,621491
97,845574,1081471,1042839,1142125,1081532,980900,1072374,929689,778455,669860,626831
98,862295,1079108,1032147,1135516,1101430,984923,1071521,918783,797775,664557,636508
99,870794,1059115,1050492,1116277,1108577,988255,1069352,931572,796024,679688,637054
100,873688,1049506,1060710,1107855,1118082,984447,1066588,941722,799107,686343,631397
101,882633,1024901,1059361,1116072,1114436,999203,1050339,970988,791290,692491,631344
102,873516,1038691,1046702,1111090,1120952,999373,1053059,971003,798074,703419,626154
103,855869,1043565,1048511,1113010,1114200,1006220,1047351,980883,811450,697330,629696
104,848084,1044480,1062705,1090787,1120717,1024295,1028265,993855,811626,705472,636483
105,843798,1069684,1056536,1085306,1146779,995377,1031256,993084,828641,707930,633205
106,842791,1075016,1057950,1083096,1126512,1008397,1015194,1016420,856622,691760,629488
107,848797,1065944,1062721,1085405,1120109,1012481,1016952,1006730,876750,688362,627900
108,851982,1047769,1083715,1074752,1127254,998089,1028541,1001304,887260,698195,628960
109,833834,1044008,1095800,1084275,1114505,1007066,1008710,1019596,891924,711606,631386
110,827367,1038691,1104292,1072515,1124722,1015402,998840,1029936,899059,719132,631174
111,818176,1044377,1098244,1074141,1119087,1040863,973696,1047069,903592,722416,625992
112,808591,1050911,1107679,1057259,1123146,1042522,985802,1033480,915161,728753,625762
113,802511,1039410,1102460,1044953,1121466,1053704,987404,1038494,918395,721930,634166
114,768720,1057822,1095100,1049593,1125938,1041815,999630,1032998,930179,729913,629258
115,751757,1056643,1096368,1046465,1125331,1058814,993364,1042158,928333,730519,638395
116,746764,1068628,1085749,1039128,1138213,1058592,995483,1044659,922104,746539,645324
117,736131,1067827,1081203,1041308,1136866,1073997,970645,1062223,917431,751956,647828
118,732305,1065038,1078840,1030935,1129833,1093895,977433,1059684,904061,770984,643965
119,741960,1062739,1058847,1049103,1111696,1100398,981043,1054559,916072,769867,658105
120,730625,1063036,1049238,1058781,1103274,1109903,978329,1053088,926086,778002,660498
