period,Contributory_pensioners_share,Moratorium_pensioners_share,Retirement_coverage_for_legal_age,Retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,Survivors_benefit_coverage_legal_age,Survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,Mean_contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income
49,0.82278613953123,0.17721386046877,0.99197044037084,0.99255984190482,0.995217431891263,0.996580929987044,0.805228651493099,0.892709910177159,0.029215584854771,0.028184697398671,0.18674178887774,0.099849931727661,4470.97952518973,3331.11635797008,2432.55370456062,4109.74221623683,4069.78161908614,3103.99363821106,0.54929954833182,0.634437327442969,474.186307864191,491.402110069187,383.783268654517,668.708483245716,0.65065928531902,0.37668160865567,0.273977676663349,0.296560194015878,0.258066161236901,0.276325571282878,0.250928333437164,0.295702393289672,0.256848859870553,0.274393080085833,0.248909131032575
50,0.813987335230102,0.186012664769898,0.992906860348721,0.993724973807713,0.996125485951067,0.997693643526558,0.797582466187117,0.886121675732308,0.03311014502875,0.032917964321082,0.195324394161603,0.107603298075405,5146.91797688847,3823.84167776702,2778.54506764145,4706.3706208706,4670.24966147049,3560.61241992607,0.602926148329652,0.687481399730419,416.515534229765,444.758943289874,251.803476798274,768.552924109479,0.635416108444444,0.382479292050538,0.252936816393906,0.293860609161768,0.259944232905617,0.278460350994824,0.253047748270184,0.2930430920073,0.25874063767033,0.277314770910252,0.251861820892687
51,0.806803137765358,0.193196862234642,0.992960842012723,0.993864830887413,0.996176475205523,0.997823131491375,0.790677134844951,0.879770153032103,0.038771622887424,0.039513938865173,0.202283707167772,0.11409467785531,4990.0881765996,3698.73340288192,2684.23179879706,4544.60395964442,4527.0495566798,3435.634719424,0.558386245532421,0.634865076633494,552.861598909654,570.205852822391,385.685225894459,854.787237177249,0.564740764660113,0.306990409706119,0.257750354953995,0.302249308937756,0.262650270184012,0.287343907632781,0.256526479485138,0.301276918615357,0.261208666609075,0.286287276652077,0.255424156550518
52,0.795796978845282,0.204203021154718,0.992995936968337,0.993911032311592,0.996187103141803,0.99783952458886,0.77989522034799,0.872495723800107,0.043730314866922,0.045077681930285,0.213100716620347,0.121415308511485,5389.72132720615,3986.44842474342,2882.13744154239,4877.66512195473,4877.30670002881,3699.36842517124,0.609080640049359,0.687378358377816,524.832721961095,543.756275343615,370.286809935671,817.800042446324,0.576281207779734,0.316092315953106,0.260188891826628,0.302562021629512,0.266221717529464,0.288003635076161,0.259577010418815,0.302101337327562,0.264999873713497,0.286955943634105,0.258487489646095
53,0.787553919889037,0.212446080110963,0.993078721594805,0.99399109319063,0.996232169732543,0.99786793163081,0.772647536527227,0.862206625920315,0.046389984687488,0.04921282059011,0.220431185067578,0.131784467270315,4707.29100732815,3435.92580942461,2544.44142362783,4247.80209140139,4247.55506800099,3211.40356484655,0.563131867984684,0.634355305398665,588.315406809014,606.232274712314,430.76258753687,834.996314491796,0.525373342156429,0.269781449525673,0.255591892630756,0.306933286327196,0.265964822657725,0.289931884238244,0.259318758890605,0.306480903881037,0.264757021503681,0.288973164897145,0.25831870633836
54,0.780418000500599,0.219581999499401,0.99307162104666,0.993870253822114,0.996209048361934,0.99772653424946,0.766131896184938,0.857141910840816,0.051408878173309,0.054544700220479,0.226939724861722,0.136728342981298,4825.74129307803,3534.70113381647,2602.29687127864,4337.51292116354,4356.2499301878,3293.16184723344,0.593302104805944,0.666858347645624,504.479682396276,519.539646119828,371.729896992538,711.724254492542,0.510494803461769,0.25976973417267,0.250725069289099,0.302193910775587,0.266532836838158,0.284470555446805,0.259034937422765,0.301798022035285,0.265392429169698,0.283414529809913,0.257941372219999
55,0.773432603618974,0.226567396381026,0.993010402846205,0.99394088729368,0.996126186270947,0.997752731546018,0.759916506807061,0.850105367632235,0.054210575241057,0.058116409264081,0.233093896039144,0.143835519661445,4580.73590385886,3348.23374490555,2469.01803019746,4102.28948333211,4129.31576452095,3115.63512848048,0.560043788408201,0.62760907413492,490.567923039611,503.058287951739,336.541951819047,688.592861604624,0.451595436990332,0.205948970789018,0.245646466201313,0.315428340459582,0.268887759210494,0.298613405446347,0.260539227709207,0.315009433781177,0.267758867095194,0.29759019829623,0.259460476624838
56,0.76520494674207,0.23479505325793,0.992847726856386,0.994078827555138,0.995950738946659,0.997865269620966,0.752225284120158,0.841574661476127,0.055026354983349,0.058728363432712,0.240622442736228,0.152504166079011,5000.64053144739,3647.63010601195,2679.02087266874,4455.5357200198,4489.09478765603,3362.14499218242,0.592379458082965,0.672274454372906,564.02772747671,569.674678897599,493.141367504015,778.626073161663,0.698924851599915,0.44983655556049,0.249088296039425,0.307284147759259,0.270483633476156,0.288823397579756,0.262593867512397,0.306895460224526,0.269163264498919,0.287837998776468,0.261572125348757
57,0.755608899849829,0.244391100150171,0.993321634712997,0.993787791022977,0.996244151619474,0.997352056127567,0.743371835404205,0.833400963327763,0.06009915194299,0.064271397070153,0.249949799308792,0.160386827695214,4776.34519872334,3466.05311607053,2553.20862302547,4233.03040520446,4279.00920703583,3196.4312219124,0.553653562436188,0.631982130762965,658.778224152735,664.725080665399,580.969430660354,842.230764110878,0.669239256543965,0.408699634184775,0.260539622359191,0.313075176263447,0.272494279964927,0.298881780548678,0.266110503865957,0.312630810403743,0.271697243586113,0.29759141087058,0.264759820448219
58,0.747298054021769,0.252701945978231,0.992747213426448,0.993498361735998,0.995450305063199,0.996789773822821,0.734865048219488,0.825125888901142,0.06359905122317,0.068364624863591,0.25788216520696,0.168372472834856,5089.62047834466,3685.08773550723,2705.51766466417,4487.15305791542,4549.52829303229,3399.30694651955,0.601896869832011,0.675615283253922,551.192186793029,561.25138384204,482.627478782235,756.637584142117,0.718470835727018,0.464443358904533,0.254027476822485,0.306233758885572,0.27462726815573,0.29369647127737,0.268001826752382,0.305954373080944,0.27359221866652,0.292184912552873,0.26643527897216
