Period,90_100_dec,80_90_dec,70_80_dec,60_70_dec,50_60_dec,40_50_dec,30_40_dec,20_30_dec,10_20_dec,0_100_dec,count_100_dec,count_90_dec,count_80_dec,count_70_dec,count_60_dec,count_50_dec,count_40_dec,count_30_dec,count_20_dec,count_10_dec,count_0_dec,count_all_cont_pen
49,11853.455203406907,6640.8515060352602,4705.7544174600625,3557.991415019279,3202.3034139987121,3174.2529168538422,3135.035854091022,3135.035854091022,2931.9714273849727,93.018202770623006,129098.0,378351.0,438090.0,343269.0,244967.0,579569.0,35636.0,0.0,1015632.0,374490.0,0.0,3539102.0
50,13648.563829845421,7650.806601153894,5405.3690985073381,4142.7372014686707,3686.1873423122101,3641.2034019206908,3596.2168292617744,3596.2168292617744,3370.3525987193884,109.60025241069452,129319.0,383781.0,443958.0,341031.0,239198.0,570355.0,35226.0,0.0,1005739.0,374487.0,0.0,3523094.0
51,13163.433886055076,7387.2083527358245,5544.9878570799692,4186.9198746774373,3556.933044871414,3531.938272766416,3470.7756149028978,3470.7756149028978,3252.1520765149135,108.73166028318343,130125.0,389053.0,413413.0,294874.0,315997.0,554181.0,40916.0,0.0,983704.0,377131.0,0.0,3499394.0
52,14202.272687127199,7957.4819404861928,6036.6024156328785,4538.4628550566194,3831.6322378992504,3831.6322378992504,3738.5822668707037,3738.5822668707037,3510.6624286912929,119.88133833676891,133286.0,388542.0,294613.0,423062.0,312595.0,0.0,573742.0,0.0,971075.0,377995.0,0.0,3474910.0
53,12302.580033140928,6902.8054351684559,5287.2019983183582,4006.5497938639614,3341.4938517089322,3341.4938517089322,3279.0188440369934,3279.0188440369934,3041.2619047464536,108.3469491752021,135768.0,397622.0,296676.0,388602.0,337705.0,0.0,545965.0,0.0,979099.0,384562.0,0.0,3465999.0
54,12605.289318119003,7082.8196196822119,5430.1237963088288,4111.068653055785,3427.8409039236694,3427.8409039236694,3362.808117505765,3362.808117505765,3122.103404767473,114.77401623621961,137057.0,401483.0,304351.0,387917.0,334957.0,0.0,531194.0,0.0,967744.0,395983.0,0.0,3460686.0
55,11896.326917103479,6948.3177749730467,5387.4618431652452,3887.9209698548239,3243.1584424061812,3243.1584424061812,3181.8244550063123,3181.8244550063123,2947.5541942200862,110.7016417087906,141528.0,375147.0,332194.0,393792.0,335434.0,0.0,524395.0,0.0,953603.0,404268.0,0.0,3460361.0
56,12942.058453719272,7586.94541617296,5980.8515417573744,4313.2536020788057,3532.7339580140601,3532.7339580140601,3466.1243294858177,3466.1243294858177,3181.8121875986494,120.98463112129484,144785.0,373455.0,327710.0,393029.0,341643.0,0.0,519577.0,0.0,937785.0,402889.0,0.0,3440873.0
57,12278.986631080536,7246.823213452567,5762.561605984527,4142.8735328786361,3358.6331303742318,3358.6331303742318,3295.5754252946826,3295.5754252946826,3024.1004778730335,118.30481544477799,142665.0,381322.0,326755.0,393807.0,336623.0,0.0,518709.0,0.0,928190.0,404053.0,0.0,3432124.0
58,13888.299627240127,7991.6987711673291,6195.6630027351312,4453.5105578861576,3572.3733828709351,3572.3733828709351,3504.7457577603905,3504.7457577603905,3225.993087661659,128.85664703565593,109776.0,343196.0,401785.0,292680.0,440333.0,0.0,506836.0,0.0,917965.0,408720.0,0.0,3421291.0
59,13348.349461321177,7686.8480829512273,5973.9940803556574,4382.1198961999544,3455.0448656242775,3455.0448656242775,3351.1028110641605,3351.1028110641605,3084.4451366287585,126.50619760455055,110369.0,346342.0,408396.0,280734.0,409619.0,0.0,528534.0,0.0,910305.0,409410.0,0.0,3403709.0
60,14489.54041045178,8396.5360591404369,6518.8023094443333,4753.6208705791942,3747.9832130372438,3747.9832130372438,3634.0682668008326,3634.0682668008326,3359.0568822492319,139.90929349655548,109910.0,350874.0,411401.0,286401.0,406368.0,0.0,521335.0,0.0,894439.0,408691.0,0.0,3389419.0
61,13389.583375015829,7781.9100239751324,6040.1785308994968,4399.4323392242268,3467.7308513541484,3467.7308513541484,3362.3356956178059,3362.3356956178059,3070.1786261234029,132.27382458210917,110538.0,349538.0,424592.0,283544.0,400910.0,0.0,504837.0,0.0,938272.0,373734.0,0.0,3385965.0
62,13208.399820082761,7685.3653338059312,5966.3288904202891,4396.3579925046606,3436.6238379059832,3436.6238379059832,3308.1076739881701,3308.1076739881701,2700.3366844579491,26.374689278395735,109365.0,352907.0,430296.0,283732.0,384875.0,0.0,497346.0,0.0,961303.0,342213.0,0.0,3362037.0
63,12473.035730663089,7283.4396382019358,5659.442599495309,4158.2845818634769,3250.0672929877182,3250.0672929877182,3145.6171921873192,3145.6171921873192,2562.5471435429649,23.408086686195691,110832.0,353008.0,433878.0,281973.0,382274.0,0.0,479842.0,0.0,962489.0,346656.0,0.0,3350952.0
64,11374.81926314524,6641.2645078972364,5152.1474366097145,3805.0956183341382,2935.2276979666553,2935.2276979666553,2935.2276979666553,2935.2276979666553,2368.0800285718256,21.346796958907923,107224.0,362478.0,439508.0,262392.0,394150.0,0.0,0.0,0.0,1405602.0,357271.0,0.0,3328625.0
65,11194.647472748045,6543.4180014404901,5071.5678550538023,3739.8637192956085,2887.2854872064322,2887.2854872064322,2887.2854872064322,2887.2854872064322,2353.9801721902982,21.008958172972413,109077.0,363875.0,448388.0,263512.0,391502.0,0.0,0.0,0.0,1409376.0,356149.0,0.0,3341879.0
66,11330.870549715808,6673.8645526658656,5121.939860298593,3796.3170906610908,2907.2197908842427,2907.2197908842427,2907.2197908842427,2907.2197908842427,2363.1696321464947,22.604772515012666,106236.0,379148.0,452337.0,267783.0,387205.0,0.0,0.0,0.0,1401752.0,355625.0,0.0,3350086.0
67,11557.195287052813,6809.3816612053952,5455.4448146647419,4095.0597312320192,2958.773904151124,2958.773904151124,2958.773904151124,2958.773904151124,2396.885699028277,22.934866143251352,107490.0,385431.0,451517.0,234224.0,429867.0,0.0,0.0,0.0,1388270.0,357410.0,0.0,3354209.0
68,11334.193047319983,6691.30197342048,5359.4160293045516,4028.4525807179571,2903.5941082015852,2903.5941082015852,2903.5941082015852,2903.5941082015852,2354.0062973694535,21.159376415939821,105527.0,387886.0,448684.0,234778.0,425795.0,0.0,0.0,0.0,1377231.0,358209.0,0.0,3338110.0
