Period,[16;20[,[20;25[,[25;30[,[30;35[,[35;40[,[40;45[,[45;50[,[50;55[,[55;60[,[60;65[,[65;70[
49,999473,1179713,1010319,991855,865363,807519,671266,644422,543087,516295,423509
50,1005404,1177352,1009203,1008087,858846,809959,683405,640597,556282,506288,427695
51,998203,1194447,1013410,1009334,855600,816237,691927,640175,563286,507644,417309
52,987674,1204880,1020799,999723,855367,838138,692054,631587,580266,504050,429069
53,973792,1228502,1026810,992591,864367,839731,696372,635673,579509,505367,436447
54,964182,1250129,1011895,993004,883401,838417,699498,638364,584359,505085,438543
55,957440,1255347,1021629,996309,885384,836345,717387,642655,574249,505471,447170
56,950932,1275810,1024459,991439,886150,861393,717779,639313,574143,510312,450013
57,933540,1276709,1041685,983014,906160,852266,727009,634724,579497,513318,457703
58,958641,1256827,1067233,978605,917807,851978,735605,636255,579923,511943,462898
59,953150,1263383,1082464,966656,936967,844565,721725,660722,578094,505597,468485
60,945823,1262413,1100612,969125,927738,835600,751035,646358,591608,507968,464712
61,948599,1262870,1101185,972968,921141,847158,758218,639176,598365,519772,464245
62,939873,1261919,1103365,995563,926795,838554,772388,630737,611613,515519,468740
63,951530,1260088,1123610,986800,941267,842804,775321,631895,610437,516069,474751
64,933221,1261601,1133961,970669,947978,857553,782118,629036,613621,515178,475183
65,945354,1245943,1147796,975544,956044,849944,791406,633969,621051,507785,481650
66,921053,1249304,1153756,974862,958778,853723,798613,640132,625337,506152,479157
67,918573,1245807,1162432,967519,981170,853731,804059,640134,623438,515514,479398
68,914925,1240891,1165823,975740,997045,842470,812913,648390,622770,514107,478096
69,906236,1239139,1171294,999442,986305,856552,801452,661601,624309,514580,478457
70,911216,1236721,1170940,1000525,999909,849655,803387,672537,619793,527185,467041
71,912693,1224957,1187294,1005991,1001087,847667,808076,682086,622666,532192,467926
72,885893,1228394,1199785,1013703,995298,844046,830896,681398,611830,549387,466423
73,893267,1196560,1222855,1017680,988438,855235,830482,684077,619028,546316,469239
74,873395,1213524,1242720,1002708,987060,875623,828996,685086,620460,554258,466768
75,873353,1200791,1248655,1012556,990715,878873,826142,701940,625529,544896,465978
76,884510,1175735,1271092,1017446,982654,879101,851568,701033,620986,544989,475861
77,879509,1165024,1271970,1034378,974793,898611,842776,709151,615255,554352,478164
78,878767,1168559,1252650,1059802,970384,910319,844148,715136,616939,556136,473462
79,858056,1185945,1259101,1075235,958435,928781,836354,702272,637120,552197,468263
80,872309,1162932,1257895,1093676,962949,918383,824750,731074,623077,562947,471617
81,860980,1178394,1256310,1091766,967062,911345,838288,742492,614020,570351,480435
82,886740,1148720,1254702,1096262,989106,917604,829106,759008,600010,584998,474878
83,883582,1142741,1252784,1116197,980079,933294,833683,763257,600322,584389,473105
84,882969,1141493,1254752,1124563,963478,939493,847796,769375,599182,587168,473930
85,889028,1147573,1239112,1138257,968353,947457,840702,777691,603768,594181,463578
86,893827,1145427,1243871,1146355,964751,949823,841493,784701,610993,593935,461529
87,888931,1143330,1240537,1154779,955686,971668,841945,788122,612320,590812,468509
88,903561,1130287,1235491,1158010,965628,985555,829967,796984,618704,589216,465949
89,901525,1120232,1233098,1163610,989003,976524,842742,787136,633629,587269,468486
90,895531,1124891,1233413,1162896,989980,990694,835342,786837,644548,581898,481460
91,898583,1119380,1221922,1179312,997133,992164,832350,791008,654107,587586,486264
92,892320,1113065,1224663,1191698,1004523,986119,827945,811623,654886,575962,502697
93,908595,1112804,1193582,1214501,1011987,978676,837052,814138,658466,580583,498009
94,910886,1089669,1210416,1233647,999062,974260,857910,811588,659829,579718,505616
95,908982,1092906,1197343,1239196,1009037,977235,861160,809310,676944,581491,502999
96,911320,1091315,1171749,1264354,1010802,971879,861366,835694,678140,581020,498286
97,909123,1090072,1161895,1266927,1025895,963952,879137,827292,686971,577249,506478
98,912788,1094924,1165550,1247604,1050904,959933,892984,829323,691303,579213,508972
99,909226,1074585,1182951,1253656,1066590,949798,909522,821812,679437,599178,507311
100,922655,1091551,1158781,1252465,1085459,953990,901143,812646,708562,582073,516327
101,906716,1091434,1174141,1250604,1086359,958014,894029,827022,718885,577592,520187
102,898867,1118411,1144873,1249316,1091122,978410,902463,812444,734328,565470,536193
103,910631,1114063,1139221,1248292,1110944,969995,916575,817291,739088,563900,536792
104,910122,1118781,1138087,1252016,1121899,953115,922461,831668,750583,562232,536837
